SCAN changed=1 dry_run=True
DRY_UPDATE company-os/knowledge/DASHBOARD.md dea1729cbbf1d1539d61b15384ed0773
SCAN changed=1 dry_run=False
SCAN changed=1 dry_run=False
SCAN changed=1 dry_run=False
SCAN changed=1 dry_run=False
SCAN changed=412 dry_run=True
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02_badivi_reels_leadgen_learning.md c5647ed8f69cb78c2d0a49025188a3c9
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02_night_2300_dispatch.md ec1579352e7059120fba1565da18bfe5
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02_badivi_reel_to_quote_sheet_skill.md f0d829e7900922a9bb4b65ddc78140e8
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02_badivi_website_cro_rfq_form_techseo_skill.md 844d628530e223e12810a78b80d000ba
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-03_1329_badivi_reels_ab_test_cadence_kpi_playbook.md 53fd60c1cf9b43d7ac7f67b0eefcb23a
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02_badivi_export_email_linkedin_prospecting_skill.md 17783e1c43e5a8c8adb59778bf2f0eaa
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02_badivi_b2b_cold_outreach_copywriting_skill.md 2f81559b246cf209eb50686fd971a627
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-03_0558_badivi_comment_to_dm_inbound_funnel_skill.md 5f1ede61963c132346d7b2fbb1488a8b
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02_badivi_b2b_quote_pricing_tiers_skill.md a9de656e81860f9914a4a6e7e679ee3d
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02_badivi_reel_hook_retention_skill.md 163ea4a517ffa4b904925d4078ad460e
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02_1843_badivi_b2b_leadgen_offer_matrix.md 9c854ee4ba440c3104eef600bc7fc18d
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-03_badivi_campaign_kit_execution.md 1fc23ff908e579d02039ed2b1d48f83c
DRY_UPDATE memory/areas/dropship-affiliate/2026-05-29.md c969aca54508a84245fdc826fc41f768
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-03_2316_badivi_b2b_marketplace_buyrequest_leadgen_channel.md 6022c8a2359d76f74af7731a3d7010b3
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-03.md d5aa725b775bd01e4f438c664af7550a
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02_badivi_reels_b2b_landing_offer_learning.md ef0e122748fc20868859c10de86395a4
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02_2058_badivi_landing_page_rfq_copy_skill.md 27fcaa807e9ecb03da0402e90b770a80
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02.md f794f9d71da51be4f7d7770358a9afc2
DRY_UPDATE memory/areas/dropship-affiliate/2026-05-27-learning.md 3717fb8478511fae3e0c03ebcf6529a1
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02_badivi_supplier_buyer_persona_mapping_skill.md 47add075d6933f8c6576fc84658a5bb2
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-03_1414_badivi_b2b_unit_economics_cac_roas_calculator_skill.md 67065509028c9857b3bc615928757d3f
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02_badivi_b2b_reel_creative_testing_matrix.md e4e8139f2fe69d089c3a760371b2768f
DRY_UPDATE memory/areas/dropship-affiliate/MEMORY.md 28863101926daa763049980167e0629e
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02_badivi_whatsapp_zalo_b2b_followup_skill.md 9b3ac39986a25bc9cd8014d8e7ff6c75
DRY_UPDATE memory/areas/dropship-affiliate/2026-05-25-xentric-current-plan-sync.md e81ab396922378799cf4815dd37eb066
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02_2228_badivi_reel_hook_3s_ab_test_skill.md 39fc3cb9ed2671998f51a56c469c0de2
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-03_0043_badivi_post_launch_reply_triage_skill.md b4841b7a68d6c2814627b15253f281f4
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02_2143_badivi_competitor_positioning_b2b_packaging.md 79b2dad2437cb06f7a6682156490868b
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-03_badivi_social_saas_micro_spec.md 2efb1ac5105dcffc572dd47f914d720a
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-04.md 20a92fb7f222a9873db33de8f6f199a3
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02_2358_badivi_72h_campaign_measurement_skill.md 6fa53773c5fe0ec269039bb0a15a3cb0
DRY_UPDATE memory/areas/dropship-affiliate/badivi-international-market-report.md e54c66dcf6448690d6a4f8db6369b2e2
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02_badivi_reels_hook_retention_skill.md 32a43bb24475268c76861c84ede5bea5
DRY_UPDATE memory/areas/dropship-affiliate/rfc-001-ongdo-ai-roadmap.md c99d1a508f053d1b1c7744a65ae47b61
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02_badivi_post_reel_publish_checklist_learning.md 3e14070c596ff88faad4862ed807e5c7
DRY_UPDATE memory/areas/dropship-affiliate/badivi-packaging-export-report.md 4bf164bb9f150f147d47f76a9e902013
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02_1928_badivi_reel_to_rfq_campaign_pack_skill.md 79485bd1c49abe7e98daec002b6d172f
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02_badivi_b2b_dm_sales_objection_handling_skill.md 956f8373f35833f72980c7c906fbbb37
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02_badivi_cold_outreach_dm_script_asean_skill.md baa0248560e2c83df9c3e3b4353ea3a0
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02_badivi_reels_distribution_learning.md 1d61c16f0067720b239b49d86a37bb5c
DRY_UPDATE memory/areas/dropship-affiliate/2026-05-30.md 111b15999c2ef569af3fd73ff2cf6866
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02_badivi_b2b_lead_scoring_rfq_prioritization_skill.md 9ee3ebf70107836660dff932208ea29a
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02_badivi_quote_followup_sla_learning.md c38e861e9881a5c5542b1d596997952b
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-02_badivi_reels_retargeting_learning.md 73a4d0da35532677e02bf5c82999b4f8
DRY_UPDATE memory/areas/dropship-affiliate/2026-06-04_daily_checkpoint_smallbiz_tarot_render_1731.md 50dfbae52759ffc85c36edd7891e2b26
DRY_UPDATE memory/areas/upharma-pharma-knowledge/INDEX.md 83a17745fe46c70979945617e37d9641
DRY_UPDATE memory/areas/upharma-ops/2026-06-02_sku_attachment_rate_learning.md e281f61acce76a1a424e1061552c3369
DRY_UPDATE memory/areas/upharma-ops/2026-06-02_hourly_revenue_heatmap_staffing_learning.md c09d7b074279b4bc893abf0087d56852
DRY_UPDATE memory/areas/upharma-ops/2026-06-03_1240_stock_sales_mix_learning.md 8a7e512262ee8d54185dbed7ecaeac56
DRY_UPDATE memory/areas/upharma-ops/2026-06-02_expiry_risk_180d_learning.md 7786469c48a09e7c20e6e1610c075c9d
DRY_UPDATE memory/areas/upharma-ops/2026-05-24-learning.md 5beb041eae6f8b5f3d594c67bcceebb0
DRY_UPDATE memory/areas/upharma-ops/2026-06-03_1925_replenishment_gap_learning.md 91ae3de8343b7baa7d49e9dfaa3d4ee9
DRY_UPDATE memory/areas/upharma-ops/2026-05-31-learning.md 310b80599636a83654776ca66ac6636c
DRY_UPDATE memory/areas/upharma-ops/2026-06-03_1410_time_pattern_weekday_intraday_learning.md 4f573e979fdfbe6fa384907c2b1e82fe
DRY_UPDATE memory/areas/upharma-ops/2026-06-02_crm_next_best_action_guardrails.md 42f913b8cb1cac81630504fa6a7685bd
DRY_UPDATE memory/areas/upharma-ops/2026-06-02_dashboard_postflight_guardrails.md f91ae1b431e03a5b76d43ebd8d611dae
DRY_UPDATE memory/areas/upharma-ops/2026-06-02_promo_effectiveness_kpi_learning.md c09d11ef0b84cf8d7aee6377bdaf76c9
DRY_UPDATE memory/areas/upharma-ops/2026-06-03_0725_staff_productivity_guardrail_learning.md bada2eb759de841ba7a6000df50d8e54
DRY_UPDATE memory/areas/upharma-ops/2026-05-27.md 62042e88653828fcac80337e0f9e81e0
DRY_UPDATE memory/areas/upharma-ops/2026-06-05-learning.md a0832f7aa7741646714de2bb67e0d7e5
DRY_UPDATE memory/areas/upharma-ops/project_agent_structure.md b6319e7bccb7827d1606f4e44c2aa97e
DRY_UPDATE memory/areas/upharma-ops/2026-06-02_hourly_revenue_staffing_learning.md 88d5677d65e62049b8dfddfbf2f08f1f
DRY_UPDATE memory/areas/upharma-ops/2026-05-28-learning.md 415d55c4a9375ac5bbf712c0edbf43b8
DRY_UPDATE memory/areas/upharma-ops/2026-06-03_0855_km_lift_elasticity_learning.md 275117bcd384b592851db97ce0d63012
DRY_UPDATE memory/areas/upharma-ops/2026-05-26.md a4346181090df35502f5de8ddd5a5f48
DRY_UPDATE memory/areas/upharma-ops/2026-06-03_sku_pair_affinity_bundle_learning.md 1107abbe104275529139dfa379aa3827
DRY_UPDATE memory/areas/upharma-ops/2026-06-03_1540_basket_size_aov_learning.md 2451126462d5f89504ce853c9c66400a
DRY_UPDATE memory/areas/upharma-ops/DAILY_LEARNING.md f023b5dd5a87f3ba74b2676bddb786ca
DRY_UPDATE memory/areas/upharma-ops/2026-06-02_customer_purchase_interval_learning.md 1538eb50065f307a18a64fd947eedcd7
DRY_UPDATE memory/areas/upharma-ops/2026-06-02_day_of_week_revenue_pattern.md 429312525814cbd3a79bc2beea11071b
DRY_UPDATE memory/areas/upharma-ops/2026-06-02_rfm_segmentation_winback_learning.md 339025080e3625f73b5c0f202875cbaa
DRY_UPDATE memory/areas/upharma-ops/2026-06-03_2140_expiry_cashrisk_learning.md 18cd174836151ca161d1fee0d3fb85e1
DRY_UPDATE memory/areas/upharma-ops/2026-06-02_basket_crosssell_analysis_learning.md 7b2ae421b10f7de5eadd0c504ce30568
DRY_UPDATE memory/areas/upharma-ops/2026-06-03_1840_disease_mix_crm_learning.md f64b507df5ef832a641b3e888f32b905
DRY_UPDATE memory/areas/upharma-ops/2026-06-03_0255_data_catalog_4ketquaai.md ba8c629c4e89d0a9c30d1743a12ec4bc
DRY_UPDATE memory/areas/upharma-ops/2026-05-29.md 57cb13d5e164d8bbeb089cab4fd770a2
DRY_UPDATE memory/areas/upharma-ops/heartbeat_inventory_days_cover_20260602_1840.md a046b4c0ea8e680f546f96a4a2dcf87e
DRY_UPDATE memory/areas/upharma-ops/2026-06-03_1455_osa_top100_learning.md b6e4fe8f49ab6a707af6a0ac48c202ed
DRY_UPDATE memory/areas/upharma-ops/2026-06-03_1325_basket_size_crosssell_uplift_learning.md 253c75ba294c381d54511a0e1dc800f9
DRY_UPDATE memory/areas/upharma-ops/2026-06-02_store_staff_kpi_exception_learning.md 43da2e6cacb5afcc8473668c0be50fc5
DRY_UPDATE memory/areas/upharma-ops/skill_sql_forecast_tonkho_20260603.md a57d9df43167be2a5b9f286abdbd5a03
DRY_UPDATE memory/areas/upharma-ops/2026-06-03.md b5bc4d8bad450e5de6e5a9cffe2c3e01
DRY_UPDATE memory/areas/upharma-ops/2026-06-02_forecast_inventory_replenishment_guardrails.md 53bbd53675551a1f0eefb03196b9f1ee
DRY_UPDATE memory/areas/upharma-ops/2026-06-02_customer_repeat_ltv_learning.md d485019cd3427a60a384e94d8d0e977b
DRY_UPDATE memory/areas/upharma-ops/2026-06-02.md 9244906e288f4957eed361c554601327
DRY_UPDATE memory/areas/upharma-ops/outlook_daily_20260604_0801.md 092e5d915e01aecd611995912003369c
DRY_UPDATE memory/areas/upharma-ops/2026-06-02_cross_sell_readiness_by_shop_learning.md 4ec2994bff2af776346cfbb828d28d41
DRY_UPDATE memory/areas/upharma-ops/2026-06-02_stockout_risk_poc_real.md 0603be27c87131009ea774d7bc7b0bc0
DRY_UPDATE memory/areas/upharma-ops/2026-06-03_1110_osa_proxy_learning.md 8fb0e0ffa2407e2b40e933a8c838dcbf
DRY_UPDATE memory/areas/upharma-ops/2026-06-04_0730_drug_db_rule_v2_learning.md c4f300012219f12a8dce3d25d005ff84
DRY_UPDATE memory/areas/upharma-ops/2026-06-03_0510_reorder_poc_result_learning.md f118b4b5939ff1c63ca3a03797f1cb44
DRY_UPDATE memory/areas/upharma-ops/2026-06-04_0512_adjustment_net_vs_gross_materiality_learning.md 989fa2ce4a066570653aa5e1512de4cb
DRY_UPDATE memory/areas/upharma-ops/2026-06-03_1155_customer_repeat_learning.md a52317c0f426118d14135568393269ed
DRY_UPDATE memory/areas/upharma-ops/2026-05-28.md 8e0d68242498a73b0644b32b6d0623b0
DRY_UPDATE memory/areas/upharma-ops/2026-06-03_2225_private_label_proxy_learning.md e87173c4f56e0e32c57b8810065fc6d5
DRY_UPDATE memory/areas/upharma-ops/2026-06-03_1755_basket_upt_guardrail_learning.md e8b335bc3b125b352b6068e7840bbaed
DRY_UPDATE memory/areas/upharma-ops/2026-06-02_repeat_purchase_retention_learning.md 0781298168be0e85b22207f8939ee5d2
DRY_UPDATE memory/areas/upharma-ops/2026-06-01.md 590558801cf2480dc2566b9961655a5b
DRY_UPDATE memory/areas/upharma-ops/2026-06-01-learning.md 7ab4656cd672e642c87527715dab85ef
DRY_UPDATE memory/areas/upharma-ops/2026-06-03_2355_report_script_date_revenue_audit_learning.md 415b7b927e33aa00ec60b81a879d0664
DRY_UPDATE memory/areas/upharma-ops/2026-06-04_0342_drug_category_rule_layer_learning.md 5cbb00b2f72a8ed41245fbe7938f5bcd
DRY_UPDATE memory/areas/upharma-ops/note_reorder_point_forecast_20260603.md 47a6e549014b54bfd42e973d2d9f9812
DRY_UPDATE memory/areas/upharma-ops/MEMORY.md 4d00eaea3a0154d195ff21336aa28213
DRY_UPDATE memory/areas/upharma-ops/2026-06-02_top_sku_shop_inventory_alignment_learning.md eea5ee74cf852b32338623f99f94d06e
DRY_UPDATE memory/areas/upharma-ops/2026-06-03_2310_demand_forecast_t6_baseline_learning.md 89bd87342f9d786818e2765fb8701f08
DRY_UPDATE memory/areas/upharma-ops/2026-06-05.md a8b9f4ff1efa19808b5a207401a9e5cb
DRY_UPDATE memory/areas/upharma-ops/2026-06-04-learning.md bc866281e4a61114aac495ff50e070d2
DRY_UPDATE memory/areas/upharma-ops/2026-06-02_stockout_sql_learning_0855.md 8215f4d8622fa8a84bff09dfacea2fa0
DRY_UPDATE memory/areas/upharma-ops/2026-06-04.md 5abc0d25e59aeb7ab0c44ee23824ac70
DRY_UPDATE memory/areas/upharma-ops/2026-06-04_0211_drug_alias_dedup_learning.md ee91a3035d24178b867ac60d8f001e47
DRY_UPDATE memory/areas/upharma-ops/2026-05-25-learning.md 3f240ccae2d52cced5e382fa4f847de6
DRY_UPDATE memory/areas/upharma-ops/2026-06-04_0126_drug_database_enrichment_learning.md 26fbc9c49532e4b84caf109438151725
DRY_UPDATE memory/areas/upharma-ops/2026-05-25-trung-thuc-so-lieu.md 7dc49d57e03e4c242ca6b1413de0f200
DRY_UPDATE memory/areas/upharma-ops/2026-06-04_0642_inventory_turnover_dio_learning.md 555ea56bcb94961dd6592f8bf2eecee7
DRY_UPDATE memory/areas/upharma-ops/2026-06-03_0810_staff_productivity_insight.md 642b2accc1d1bfe067733a8405dacfb7
DRY_UPDATE memory/areas/upharma-ops/2026-05-26-learning.md 6f27ff86a10929a898ac22bb00987a57
DRY_UPDATE memory/areas/upharma-ops/2026-06-04_0814_drug_db_unclassified_gap_learning.md 9bca4624893829351d3a4755531f657d
